,0
0,-1251495.7601
1,-1129684.46747
2,-1114517.57994
3,-1096412.57964
4,-1107198.40109
5,-1114069.30003
6,-1117628.87777
7,-1105788.62494
8,-1093383.04243
9,-1093097.34228
10,-1096900.07252
11,-1111663.64041
12,-1109414.80053
13,-1107164.94199
14,-1107004.94441
15,-1099721.20248
16,-1094954.36705
17,-1092023.31769
18,-1098616.82364
19,-1095226.6224
20,-1098008.9194
21,-1092518.09147
22,-1102794.42094
23,-1098896.79426
24,-1102423.68659
25,-1091863.98401
26,-1088929.73721
27,-1107418.6312
28,-1113277.12187
29,-1114868.03954
30,-1106380.32718
31,-1100521.41883
32,-1096442.79634
33,-1102184.87623
34,-1098805.24106
35,-1098362.8028
36,-1101528.35678
37,-1108378.9913
38,-1099480.29036
39,-1093654.48427
40,-1095419.71773
41,-1090117.47124
42,-1091427.64898
43,-1097560.71249
44,-1098198.36742
45,-1102850.55453
46,-1093354.22261
47,-1103733.90099
48,-1105207.31873
49,-1097216.29295
50,-1096588.07997
51,-1102375.7548
52,-1106422.3391
53,-1104326.1701
54,-1102254.29522
55,-1096620.70638
56,-1103140.70144
57,-1095493.28531
58,-1096930.79219
59,-1091612.83602
60,-1087101.28473
61,-1092795.10696
62,-1091618.41091
63,-1098456.51042
64,-1099900.30236
65,-1091803.65876
66,-1094563.96042
67,-1091262.55574
68,-1112528.52398
69,-1095706.98436
70,-1100462.27263
71,-1090263.69084
72,-1098219.06442
73,-1105269.5705
74,-1093777.52987
75,-1092058.77226
76,-1088833.3412
77,-1102105.49984
78,-1108248.03484
79,-1108275.66801
80,-1104805.06433
81,-1101828.5645
82,-1099237.88799
83,-1103168.09923
84,-1111609.81394
85,-1096539.23358
86,-1100670.16018
87,-1121890.15963
88,-1111956.18031
89,-1116460.93128
90,-1115005.04073
91,-1119677.53898
92,-1100818.92056
93,-1085276.74797
94,-1079070.72958
95,-1074961.29658
96,-1081461.56187
97,-1088002.484
98,-1100301.82012
99,-1104624.69498
100,-1094225.04506
101,-1106281.57172
102,-1092330.5682
103,-1084504.42147
104,-1087660.25792
105,-1084178.18197
106,-1102011.17841
107,-1115831.21022
108,-1111169.86297
109,-1114007.96843
110,-1092895.34589
111,-1104132.0576
112,-1093484.43172
113,-1098779.12229
114,-1082437.03901
115,-1095127.355
116,-1104329.55424
117,-1104385.45908
118,-1104056.90686
119,-1109421.19479
120,-1107276.21324
121,-1112354.17678
122,-1103360.00383
123,-1096918.00598
124,-1096374.5645
125,-1096381.31457
126,-1106702.54911
127,-1108053.13914
128,-1107572.71327
129,-1102307.0197
130,-1099399.41235
131,-1104386.12231
