WORDCOUNTS,WEIGHT
the,515
and,506
of,389
in,264
a,166
to,151
biofacies,143
axis,119
is,118
are,110
ramose,98
with,85
subtidal,82
by,77
scores,76
s,74
taxa,71
ra,70
at,68
for,63
p,62
sequence,61
as,60
this,59
holland,55
shallow,55
trepostomes,53
from,49
rafinesquina,48
d,48
on,45
that,43
common,41
faunal,41
these,41
v,41
high,41
samples,39
low,39
deep,37
sequences,36
m,35
fig,34
all,33
patzkowsky,33
bryozoans,33
ordination,31
e,31
but,31
dca,31
ecological,31
analysis,29
gradient,28
hebertella,27
depositional,27
also,27
ordovician,27
r,26
i,25
such,25
most,25
not,25
thin,24
more,24
offshore,23
environments,23
change,23
platystrophia,23
invasion,23
o,22
trepostome,22
or,22
have,22
g,21
strophomena,21
h,20
an,20
structure,20
environment,20
cluster,20
turnover,19
left,19
upper,19
see,19
ecology,19
brachiopods,19
palaios,18
taxon,18
dominated,18
both,18
he,17
along,17
their,17
late,16
which,16
figure,16
substrate,16
c,16
gradients,15
changes,15
biotic,15
plot,15
cincinnati,15
al,15
only,15
assemblages,15
brachiopod,15
zygospira,15
it,14
j,14
within,14
sample,14
nr,14
dalmanella,14
similar,14
was,14
et,14
settings,14
ponderosa,14
axes,14
cincinnatian,14
previous,14
overlap,14
series,14
type,14
association,14
zy,14
other,13
flexicalymene,13
data,13
its,13
reflect,13
da,13
abundance,13
daimanella,13
eochonetes,12
than,12
kentucky,12
found,12
middle,12
facies,12
present,12
were,12
three,12
so,12
although,12
bryozoan,11
may,11
b,11
cmcinnatian,11
study,11
hiscobeccus,11
two,11
patterns,11
values,11
associations,11
ohio,11
fauna,11
be,11
early,11
they,10
one,10
ambonychia,10
bivalves,10
stratigraphy,10
several,10
brief,10
assemblage,10
arch,10
characterized,10
relative,10
leptaena,10
isotelus,10
studies,9
into,9
beds,9
occurs,9
l,9
brett,9
sowerbyella,9
university,9
base,9
method,9
well,9
during,9
streptelasma,9
many,9
new,9
indiana,9
top,9
those,9
here,9
has,9
richmondian,9
stability,9
soft,9
area,9
occur,9
center,8
lower,8
dcaaxis,8
suggesting,8
dd,8
baird,8
america,8
shoal,8
some,8
bottom,8
explained,8
