,0
0,-2064819.5763
1,-2050715.96958
2,-2060820.58702
3,-2058485.15264
4,-2067142.92078
5,-2071780.35323
6,-2069064.82147
7,-2071187.63638
8,-2065092.28397
9,-2068007.26157
10,-2083626.41484
11,-2089905.6235
12,-2093341.51734
13,-2075059.21607
14,-2073393.96702
15,-2075640.43451
16,-2081614.94726
17,-2090231.20024
18,-2093087.52508
19,-2095025.66018
20,-2088822.79743
21,-2084526.10077
22,-2083988.97709
23,-2078634.9377
24,-2079551.3659
25,-2087703.27742
26,-2080939.87539
27,-2061609.04616
28,-2079024.64119
29,-2080086.28377
30,-2075601.57282
31,-2084185.64808
32,-2094667.11898
33,-2089392.7308
34,-2092706.69142
35,-2085482.57299
36,-2080408.52419
37,-2070204.63428
38,-2073095.58681
39,-2081881.29402
40,-2086118.79706
41,-2087045.82499
42,-2091618.38108
43,-2074180.46672
44,-2080275.46358
45,-2081029.13013
46,-2075903.10002
47,-2073947.65789
48,-2075971.39044
49,-2079138.29267
50,-2073387.79872
51,-2071134.82566
52,-2073141.24055
53,-2076686.0878
54,-2073213.44675
55,-2080581.7943
56,-2087546.99606
57,-2088960.45419
58,-2084429.01057
59,-2082722.42522
60,-2082489.77272
61,-2073864.91184
62,-2074122.8058
63,-2067941.23638
64,-2071780.07485
65,-2063612.12326
66,-2070723.67054
67,-2075572.88319
68,-2075999.89377
69,-2087137.66802
70,-2084472.86018
71,-2085796.89744
72,-2080257.89823
73,-2087002.15856
74,-2083219.42824
75,-2082392.52524
76,-2079783.48113
77,-2078020.00807
78,-2080208.36714
79,-2061801.60849
80,-2053388.59227
81,-2056178.43168
82,-2074137.74001
83,-2062794.98013
84,-2058291.6215
85,-2074656.53739
86,-2062718.39099
87,-2058449.50225
88,-2057302.87852
89,-2061766.97258
90,-2070951.39144
91,-2076719.51075
92,-2073530.94932
93,-2080863.70605
94,-2076348.32752
95,-2072626.36762
96,-2060605.51397
97,-2074554.82551
98,-2080105.8162
99,-2086128.28097
100,-2079167.20543
101,-2079556.87474
102,-2088269.52991
103,-2083511.99699
104,-2071013.66499
105,-2060281.43991
106,-2060294.25314
107,-2075497.3924
108,-2083207.98154
109,-2090174.19543
110,-2068411.5937
111,-2069798.35579
112,-2074473.02601
113,-2077316.77815
114,-2072560.99603
115,-2072707.35953
116,-2074467.26947
117,-2080866.65522
118,-2093353.13862
119,-2092736.13841
120,-2093203.58554
121,-2082944.44859
122,-2055704.8138
123,-2022265.64516
124,-2049043.06714
125,-2065366.4959
126,-2071890.25263
127,-2055109.41659
128,-2047476.8964
129,-2075662.75023
130,-2090767.06164
131,-2085724.72249
132,-2078372.46956
133,-2077283.46596
134,-2082646.59547
135,-2072179.90185
136,-2071388.05004
137,-2080608.91137
138,-2073729.41519
139,-2075321.88259
140,-2067028.16304
141,-2081724.42211
142,-2077358.68369
143,-2060097.22267
144,-2059078.65099
145,-2063379.82105
146,-2067795.04314
147,-2069035.14043
148,-2076259.81178
149,-2067573.1861
150,-2063297.46224
151,-2062046.64568
152,-2060017.14667
153,-2064417.30802
154,-2053700.55493
155,-2075365.91658
156,-2082305.47657
157,-2074357.92128
158,-2064102.89073
159,-2052920.71629
160,-2059050.61647
161,-2048807.22805
162,-2056219.51262
163,-2079268.13523
164,-2089913.83663
165,-2087257.08208
166,-2075307.54819
167,-2071974.72363
168,-2071212.33482
169,-2083212.07797
170,-2079493.0193
171,-2086020.92178
172,-2080685.45723
173,-2076957.21575
174,-2073968.7428
175,-2056907.94277
176,-2055109.57229
177,-2078465.05433
178,-2083134.31818
179,-2079195.11684
180,-2072082.96052
181,-2074608.929
182,-2087263.40661
183,-2075886.18264
184,-2075837.9424
185,-2079346.28597
186,-2070444.74357
187,-2073011.81905
188,-2074750.84012
189,-2058255.46254
190,-2053920.72156
191,-2048773.11881
192,-2057118.59373
193,-2073063.14659
194,-2073455.79134
195,-2071393.32316
196,-2053260.4547
197,-2055676.48305
198,-2068511.79387
199,-2079631.25625
200,-2078790.36474
201,-2063370.77645
202,-2070616.69107
203,-2063338.90957
204,-2071497.75613
205,-2082782.46657
206,-2080969.14258
207,-2080410.02701
208,-2061913.37877
209,-2061297.86264
210,-2065675.9022
211,-2060655.639
212,-2071964.52738
213,-2076401.80322
214,-2073404.37107
215,-2071880.38088
216,-2077484.75887
217,-2067715.27221
218,-2080600.93854
219,-2078119.55533
220,-2076869.17698
221,-2079892.12304
222,-2076711.16943
223,-2082657.47708
224,-2084584.89213
225,-2083839.97515
226,-2078609.32759
227,-2060716.88786
228,-2068828.58995
229,-2067676.74784
230,-2069617.2897
231,-2068133.13534
232,-2071692.03567
233,-2076586.40834
