,0
0,-710840.234721
1,-705347.568799
2,-709127.582765
3,-710166.202454
4,-710025.439274
5,-703913.755677
6,-701439.841641
7,-699249.112495
8,-702830.916706
9,-707227.147574
10,-712374.142488
11,-706976.421279
12,-709293.526948
13,-711404.712803
14,-708460.325554
15,-704968.483534
16,-708414.26244
17,-714598.113089
18,-715477.487824
19,-713627.823521
20,-705513.774089
21,-703867.238349
22,-706608.966902
23,-708097.174932
24,-713369.4941
25,-704925.029865
26,-706215.839732
27,-708429.225741
28,-708717.050932
29,-711197.422533
30,-712206.733139
31,-715133.197744
32,-710983.388273
33,-706153.431382
34,-706329.298215
35,-706579.531895
36,-703959.431137
37,-699587.210412
38,-698732.422399
39,-701875.625125
40,-706733.67357
41,-709774.586875
42,-711108.474464
43,-707194.422177
44,-715430.65254
45,-715012.051092
46,-719173.483388
47,-716121.059069
48,-711277.661917
49,-708819.690474
50,-706906.886135
51,-707142.414371
52,-705059.340713
53,-709253.547409
54,-711355.136804
55,-699421.149078
56,-695975.007815
57,-694934.046566
58,-707239.905196
59,-704744.105593
60,-701530.930728
61,-712992.837849
62,-715508.724796
63,-710883.830661
64,-713022.61368
65,-712593.789145
66,-707087.590672
67,-703309.638894
68,-705532.49036
69,-713141.973318
70,-710940.563892
71,-709412.991219
72,-708365.115309
73,-712941.576434
74,-711668.52138
75,-709722.454632
76,-709694.291275
77,-703663.523988
78,-701397.520964
79,-709027.415646
80,-707307.529029
81,-705605.612106
82,-702893.87657
83,-705218.909846
84,-704690.059666
85,-703899.370678
86,-703496.944052
87,-701287.411483
88,-703348.910293
89,-704443.726345
90,-708626.876991
91,-712091.253693
92,-713432.386806
93,-715058.417866
94,-713586.087755
95,-713670.145652
96,-710448.561559
97,-706844.818217
98,-698804.292673
99,-696733.011122
100,-699555.768654
101,-702151.966573
102,-707036.427346
103,-711374.120876
104,-706829.004002
105,-703199.742368
106,-705090.769678
107,-709442.689267
108,-710130.392485
109,-712455.487082
110,-710175.388016
111,-709332.792051
112,-711901.689934
113,-710798.594208
114,-707378.134586
115,-708345.897466
116,-710157.791819
117,-709630.824257
118,-708319.0025
119,-706331.951098
120,-704796.060259
121,-705771.708732
122,-709521.868003
123,-711386.607034
124,-707880.979892
125,-706105.168
126,-709136.126897
127,-710004.105198
128,-714583.417858
129,-716663.1629
130,-715842.91706
131,-715197.381457
132,-713012.384685
133,-709736.120377
134,-711198.362322
135,-708465.920023
136,-705367.719006
137,-707130.475375
138,-703797.589753
139,-699875.717415
140,-700128.521065
141,-702832.961351
142,-709325.329044
143,-711604.83226
144,-711722.306685
145,-711081.807391
146,-707548.965838
147,-701355.528917
148,-703069.997762
149,-704726.598875
150,-706100.069639
151,-712340.243139
152,-714690.960197
153,-714292.174299
154,-715526.038774
155,-713855.191472
156,-720345.550758
157,-712447.321263
158,-713354.022839
159,-710717.767281
160,-708843.227648
161,-707318.907447
162,-712220.3788
163,-708439.077277
164,-712295.996832
165,-710530.052403
166,-712493.311418
167,-713867.896294
168,-712933.970579
169,-703733.317617
170,-704845.608714
171,-702827.637292
172,-705389.104003
173,-709314.731424
174,-713489.892206
175,-712348.307833
176,-713510.556953
177,-711329.407673
178,-714291.816491
179,-710828.52191
180,-706709.598501
181,-708183.498608
182,-714725.412215
183,-709889.843118
184,-711248.19486
185,-711490.791254
186,-712584.655135
187,-711548.205033
188,-710269.65572
189,-707850.574129
190,-703309.361345
191,-703660.655587
192,-702205.032544
193,-698055.408341
194,-694456.385144
195,-698168.914331
196,-706999.10966
197,-712188.406214
198,-708542.179595
199,-706499.374922
200,-707142.960202
201,-710089.058076
202,-713888.038702
203,-716747.307961
204,-715885.972982
205,-716204.715336
206,-716436.487534
207,-711899.094855
208,-714833.284353
209,-716700.460436
210,-710813.475607
211,-706042.053536
212,-708963.842883
213,-709766.291296
214,-709370.795591
215,-714803.9554
216,-710221.792808
217,-709855.761608
218,-708718.748984
219,-704763.42885
