,0
224,-706952.534577
225,-709540.301494
226,-709399.115403
227,-707454.691335
228,-707607.00903
229,-706664.654329
230,-707790.544093
231,-705361.116188
232,-704250.107591
233,-704180.252445
234,-705631.720793
235,-704481.960816
236,-704119.592514
237,-705581.638898
238,-707132.958379
239,-709497.479792
240,-707258.542145
241,-706261.467894
242,-708849.327849
243,-708722.839642
244,-706139.43536
245,-705994.391041
246,-707000.957303
247,-708012.887807
248,-708422.189453
249,-706292.484159
250,-705966.926652
251,-705224.488097
252,-707979.254405
253,-709749.31322
254,-709192.876939
255,-707658.001591
256,-709072.494896
257,-708849.248819
258,-707216.964751
259,-706984.895761
260,-705166.179894
261,-704084.473285
262,-707024.001191
263,-706372.857069
264,-706767.494455
265,-707541.2356
266,-709035.944071
267,-709521.933107
268,-709065.212268
269,-704612.553525
270,-704685.861395
271,-705349.550023
272,-705243.294766
273,-708426.235941
274,-708371.784002
275,-706884.635668
276,-707602.958634
277,-703778.082958
278,-706025.682018
279,-703393.074708
280,-701331.819315
281,-705952.49674
282,-710258.226863
283,-710107.320195
284,-710377.053524
285,-711133.806891
286,-709915.358162
287,-705958.390747
288,-704478.622442
289,-703329.095384
290,-707126.416784
291,-708428.284413
292,-707335.15897
293,-707446.398083
294,-708204.795992
295,-709518.71123
296,-709456.619076
297,-709681.99251
298,-709854.831906
299,-708881.530883
300,-708263.164824
301,-708684.545939
302,-706975.538265
303,-704202.017653
304,-706011.164054
305,-706726.129706
306,-707080.834884
307,-705289.888546
308,-705184.521333
309,-706256.498833
310,-704961.424225
311,-704267.000447
312,-709153.804192
313,-708326.396955
314,-708358.767858
315,-708895.924577
316,-709598.373108
317,-709247.806654
318,-705991.182967
319,-706784.684102
320,-707400.262963
321,-700700.108054
322,-701731.500659
323,-706215.859516
324,-708251.602458
325,-708249.732871
326,-707137.628347
327,-708481.532919
328,-709060.780943
329,-709913.703838
330,-709806.256639
331,-706549.09945
332,-707092.379656
333,-709154.669291
334,-707816.01457
335,-703300.773892
336,-704190.718787
337,-705937.968306
338,-708882.500405
339,-710071.707144
340,-708749.430721
341,-708323.348414
342,-709583.741456
343,-710704.418604
344,-709836.756877
345,-708631.248128
346,-707439.630748
347,-708906.440238
348,-709534.624116
349,-707828.924728
350,-706084.185447
351,-706250.768761
352,-705029.001135
353,-705943.424043
354,-705656.746776
355,-706219.993295
356,-706897.103245
357,-708938.014553
358,-708035.970963
359,-705341.509904
360,-703701.667974
361,-703417.52158
362,-706310.799445
363,-707810.734018
364,-706386.568233
365,-707076.397869
366,-707236.761731
367,-708732.341748
368,-704580.550846
369,-704145.857819
370,-707379.644466
371,-707682.021214
372,-707631.50451
373,-706754.228915
374,-703861.36355
375,-708574.039388
376,-707197.645926
377,-708846.173267
378,-708299.48695
379,-706212.723798
380,-709361.269622
381,-708875.712208
382,-707590.614555
383,-706160.545198
384,-697973.362197
385,-698575.173042
386,-698779.777857
387,-702650.099154
388,-700370.017853
389,-703157.743659
390,-705374.215558
391,-708454.691628
392,-708809.79794
393,-707416.912518
394,-708344.714749
395,-707306.326498
396,-703067.86308
397,-706995.326028
398,-706971.823646
399,-705518.70408
400,-704726.693465
401,-703274.837241
402,-707923.607572
403,-708045.405163
404,-705475.253132
405,-707219.341485
406,-707581.297455
407,-702351.486878
408,-703261.583831
409,-704038.653004
410,-706497.500396
411,-707762.205326
412,-707855.779478
413,-709538.216757
414,-709602.597027
415,-707822.520677
416,-704152.504588
417,-704199.105201
418,-706171.777468
419,-703704.181946
420,-704047.072491
421,-709155.961772
422,-709874.757775
423,-709646.710706
424,-709285.2464
425,-708996.897201
426,-709043.433231
427,-705404.83559
428,-707687.368269
429,-705153.910871
430,-705924.552345
431,-707558.976217
432,-708101.776272
433,-707294.129601
434,-709051.133344
435,-707343.235637
436,-709076.322834
437,-708787.204919
438,-709541.480673
439,-709348.721784
440,-709037.448096
441,-708958.075019
442,-708828.385457
443,-709969.567024
444,-708697.603793
445,-706961.01164
446,-708030.075887
447,-703100.321478
448,-704692.359524
449,-708283.124313
450,-705251.370829
451,-700094.7453
452,-702947.482422
453,-706712.701177
454,-705685.647548
455,-704857.708595
456,-705042.705958
457,-707615.561
458,-708111.532727
459,-706438.340155
460,-708289.035533
461,-709649.405668
462,-708643.147397
463,-708318.6025
464,-706444.574622
465,-704545.804263
466,-705786.466155
467,-704577.037405
468,-707007.961213
469,-709446.839995
470,-709509.223709
471,-709260.453691
472,-708426.203687
473,-707876.337281
474,-708039.03044
475,-708452.202835
476,-708772.271229
477,-708234.275771
478,-707240.022015
479,-707497.197419
480,-706493.041525
481,-709304.764937
482,-708064.854801
483,-706023.020969
484,-706154.075274
485,-706594.912263
486,-704070.382887
487,-705284.050736
488,-707906.294736
489,-709201.021355
490,-706235.989609
491,-705494.9355
492,-706777.777021
493,-709009.224029
494,-707859.91987
495,-708824.248355
496,-708172.728664
497,-708449.555053
498,-707535.429469
499,-708715.84682
500,-709350.751479
501,-708405.444925
502,-709086.727306
503,-708185.228605
504,-705670.178577
505,-701769.174341
506,-701234.884744
507,-702196.415868
508,-707201.46028
509,-710155.49574
510,-710324.963067
511,-709791.657953
512,-709650.559464
513,-708106.719788
514,-709236.53909
515,-708291.999984
516,-707072.007859
517,-709536.277572
518,-709941.411003
519,-710676.835267
520,-710014.190185
521,-708872.056801
522,-708516.019836
523,-705922.751601
524,-706396.395412
525,-705932.712472
526,-708745.940163
527,-708495.071537
528,-703142.403914
529,-710725.866446
530,-709729.025451
531,-709610.10552
532,-708347.375214
533,-707704.081761
534,-705483.515633
535,-708036.984931
536,-710470.529621
537,-709869.102458
538,-710214.421523
539,-705916.637257
540,-700150.388829
541,-699982.195847
542,-704174.528605
543,-709977.898869
544,-710482.682368
545,-709711.701834
546,-709342.433029
547,-709527.962618
548,-708693.370383
549,-709352.208262
550,-710661.989488
551,-709840.06451
552,-706425.83802
553,-707535.672398
554,-706997.770899
555,-705585.849847
556,-706890.007238
557,-705725.756768
558,-706122.398385
559,-706978.269579
560,-709159.45771
561,-709213.546308
562,-709350.212929
563,-706578.680204
564,-706819.2755
565,-709513.248161
566,-708754.147543
567,-708191.112132
568,-704852.403719
569,-704627.919888
570,-709751.560918
571,-709829.436895
572,-703722.472747
573,-705150.37068
574,-705363.200708
575,-706291.794447
576,-708409.034357
577,-708687.230584
578,-708486.924062
579,-704282.809874
580,-707451.288421
581,-707150.482933
582,-706000.430577
583,-704076.151839
584,-705431.675978
585,-707115.988376
586,-706748.448694
587,-707733.721938
588,-707923.203874
589,-708221.670691
590,-708376.552357
591,-706391.810547
592,-707420.32414
593,-708488.340717
594,-708072.731793
595,-705731.957331
596,-706759.240719
597,-706228.06365
598,-707398.624222
599,-707405.707915
600,-705982.598822
601,-704972.734787
602,-705994.204633
603,-705801.672813
604,-708347.39937
605,-708590.135768
606,-707726.642792
607,-707871.057102
608,-708703.336774
609,-709081.744983
610,-709882.742922
611,-710258.501182
612,-709258.722528
613,-708455.388351
614,-709161.631966
615,-709164.737039
616,-705768.020389
617,-704794.991819
618,-703368.142909
619,-707933.566651
620,-707868.089703
621,-706501.11291
622,-709990.325212
623,-709769.417971
624,-708475.146776
625,-706482.490872
626,-704211.130802
627,-704161.764963
628,-703610.781507
629,-707169.204803
630,-709172.909182
631,-707738.917633
632,-706331.623074
633,-705419.384761
634,-705491.754962
635,-705278.290154
636,-701010.118821
637,-703710.087911
638,-701747.455726
639,-703175.255257
640,-703288.781777
641,-701646.558869
642,-705713.382319
643,-706379.785997
644,-704800.491838
645,-704631.362792
646,-697411.092225
647,-707063.043053
648,-709270.499851
649,-708598.514066
650,-707716.921648
651,-702177.999832
652,-702107.157655
653,-700868.507598
654,-704331.558431
655,-703487.78749
656,-704655.347732
657,-709333.785445
658,-709326.120404
659,-710118.303122
660,-708449.879802
661,-706374.260318
662,-701722.235348
663,-705175.691052
664,-707508.663421
665,-706968.578341
666,-703791.298158
667,-707171.53309
668,-710090.620362
669,-707989.124853
670,-709376.852031
671,-709871.351908
672,-702904.742593
673,-702479.049262
674,-701281.522444
675,-700761.964407
676,-706406.866393
677,-707947.760505
678,-702169.493922
679,-707234.590254
680,-710201.637788
681,-709747.019632
682,-709698.70845
683,-706330.95904
684,-708620.388941
685,-707850.243625
686,-708345.343936
687,-709565.048354
688,-708496.816774
689,-707548.244023
690,-707639.029081
691,-705928.346168
692,-701785.799052
693,-704196.182679
694,-708520.367467
695,-708592.450131
696,-707773.117564
697,-704586.627225
698,-700863.566595
699,-703677.70743
700,-706204.72325
701,-704873.454511
702,-705989.291444
703,-706896.826036
704,-708897.67823
705,-708089.225571
706,-707665.02622
707,-707630.18687
708,-703456.616864
709,-706995.749759
710,-707681.860475
711,-707076.52251
712,-704370.147626
713,-705653.740454
714,-706299.562634
715,-706890.125313
716,-706099.772043
717,-705188.937553
718,-705450.067687
719,-708193.305471
720,-707054.967961
721,-702396.873138
722,-702789.561361
723,-704266.674117
724,-706253.017372
725,-707719.942431
726,-709134.926517
727,-709962.732168
728,-709109.266484
729,-710462.375456
730,-710391.788879
731,-705669.054993
